Student_Number,Matric_Aggregate_Group,FTENab,Matric_Status_Code,Age_Group,Race,Gender,Home_Language,Employment,Magisterial_District,Region,Class
12213033,1001_1050,T,DIPL,26_28     ,African,F,XITSONGA,Employed,VEREENIGING,Gauteng,1.0
12213680,1201_1300,T,DEGR,26_28     ,African,M,XITSONGA,Employed,PRETORIA,Gauteng,1.0
10417801,1051_1100,F,DEGR,26_28     ,African,F,SETSWANA,Employed,JOHANNESBURG,Gauteng,1.0
11632760,1201_1300,T,DEGR,26_28     ,African,M,NORTHERN SOTHO,Employed,JOHANNESBURG,Gauteng,1.0
11632892,0851_0900,F,DIPL,24_25     ,African,F,SISWATI,Unemployed,GARANKUWA,Midlands,1.0
11398587,0000_0000,F,HCER,29_34     ,African,F,ISIZULU,Unemployed,HLABISA,KwaZulu-Natal,1.0
11400867,0951_1000,T,DIPL,24_25     ,Indian,M,ENGLISH,Employed,BOKSBURG,Gauteng,1.0
11402223,1001_1050,T,DEGR,29_34     ,African,M,ISIXHOSA,Employed,MT FLETCHER,Eastern Cape,1.0
12219066,0001_0600,T,SENR,29_34     ,African,F,ISIZULU,Unemployed,PIETERMARITZBURG,KwaZulu-Natal,1.0
10753227,0851_0900,F,DIPL,22_23     ,African,M,ISIZULU,Unemployed,UMZINTO,KwaZulu-Natal,1.0
10429985,1151_1200,T,DEGR,24_25     ,African,F,SESOTHO,Unemployed,JOHANNESBURG,Gauteng,1.0
11062449,1201_1300,T,DEGR,24_25     ,African,M,ISIZULU,Student,JOHANNESBURG,Gauteng,1.0
11073192,1001_1050,F,DEGR,26_28     ,African,F,ISIXHOSA,Unemployed,UITENHAGE,Eastern Cape,1.0
10437182,1101_1150,T,MATR,29_34     ,African,F,NORTHERN SOTHO,Employed,SESHEGO,North Eastern,1.0
11413624,0951_1000,T,MATR,29_34     ,African,M,XITSONGA,Employed,RITAVI,North Eastern,1.0
11414202,1201_1300,T,DEGR,24_25     ,African,F,XITSONGA,Employed,KEMPTON PARK,Gauteng,1.0
11415759,0951_1000,T,DIPL,22_23     ,African,M,ISIXHOSA,Unemployed,EAST LONDON,Eastern Cape,1.0
11417786,0000_0000,T,DEGR,24_25     ,African,F,ISIZULU,Employed,LOWER UMFOLOZI,KwaZulu-Natal,1.0
11079605,0000_0000,T,DEGR,26_28     ,Indian,M,ENGLISH,Employed,JOHANNESBURG,Gauteng,1.0
10097079,0000_0000,T,DEGR,24_25     ,White,M,AFR/ENG,Unemployed,PRETORIA,Gauteng,1.0
11651568,0951_1000,T,MATR,35_40     ,African,M,NORTHERN SOTHO,Employed,PRETORIA,Gauteng,1.0
11421050,1051_1100,F,DEGR,20_21     ,African,M,ISIZULU,Employed,JOHANNESBURG,Gauteng,1.0
10441260,0000_0000,T,DEGR,29_34     ,African,M,TSHIVENDA,Employed,VUWANI,North Eastern,1.0
11082857,1051_1100,T,DEGR,26_28     ,African,M,SESOTHO,Employed,GERMISTON,Gauteng,1.0
11085147,1301_1400,T,DEGR,24_25     ,African,M,NORTHERN SOTHO,Employed,PRETORIA,Gauteng,1.0
12225530,1201_1300,T,DEGR,22_23     ,White,M,AFRIKAANS,Employed,STELLENBOSCH,Western Cape,1.0
10108739,1101_1150,T,SENR,35_40     ,Coloured,M,AFRIKAANS,Employed,HUMANSDORP,Eastern Cape,1.0
10111562,1001_1050,T,DEGR,22_23     ,White,M,AFR/ENG,Unemployed,PORT SHEPSTONE,KwaZulu-Natal,1.0
11658810,1001_1050,F,DEGR,20_21     ,African,F,NORTHERN SOTHO,Unemployed,HIGHVELD RIDGE,North Eastern,1.0
11435415,1151_1200,T,MATR,41_50     ,White,M,ENGLISH,Employed,JOHANNESBURG,Gauteng,1.0
11665960,0000_0000,T,DEGR,20_21     ,African,M,TSHIVENDA,Employed,PRETORIA,Gauteng,1.0
10452847,0000_0000,T,DEGR,26_28     ,African,F,ISIZULU,Employed,JOHANNESBURG,Gauteng,1.0
10453576,0000_0000,T,KWAL,29_34     ,African,M,ENGLISH,Employed,BELLVILLE,Western Cape,1.0
12232364,0000_0000,F,DIPL,24_25     ,African,M,ISIZULU,Unemployed,INGWAVUMA,KwaZulu-Natal,1.0
10461520,1301_1400,T,DEGR,26_28     ,African,F,ISIZULU,Employed,ESHOWE,KwaZulu-Natal,1.0
11443911,1301_1400,F,DEGR,22_23     ,African,M,SESOTHO,Unemployed,MAPULANENG,North Eastern,1.0
11444384,0000_0000,T,DEGR,24_25     ,White,F,ENGLISH,Unemployed,LADY GREY,Eastern Cape,1.0
11446600,0901_0950,F,DIPL,22_23     ,African,M,SETSWANA,Employed,KLERKSDORP,Midlands,1.0
