Student_Number;FTEN;Matric_Status_Code;Age_Group;Race;Gender;Home_Language;Employment;Magisterial_District;Region;Class
11711013;T;DEGR;24_25     ;African;F;TSHIVENDA;Unemployed;PRETORIA;Gauteng;1
12276426;T;DIPL;26_28     ;Coloured;M;ENGLISH;Employed;PORT ELIZABETH;Eastern Cape;1
10515784;F;DIPL;29_34     ;African;M;TSHIVENDA;Unemployed;THOHOYANDOU;North Eastern;1
10517213;T;MATR;35_40     ;African;M;NORTHERN SOTHO;Employed;HIGHVELD RIDGE;North Eastern;1
11713016;F;SENR;35_40     ;African;F;NORTHERN SOTHO;Employed;BOLOBEDU;North Eastern;1
12279379;T;DIPL;22_23     ;African;M;SESOTHO;Student;BLOEMFONTEIN;Midlands;1
11716907;T;KWAL;26_28     ;African;M;ENGLISH;Employed;BELLVILLE;Western Cape;1
11717224;T;DEGR;24_25     ;African;M;NORTHERN SOTHO;Unemployed;PRETORIA;Gauteng;1
11718689;T;DEGR;20_21     ;Coloured;F;ENGLISH;Unemployed;DURBAN;KwaZulu-Natal;1
11718735;F;DIPL;20_21     ;African;F;ENGLISH;Unemployed;QUEENSTOWN;Eastern Cape;1
10169223;T;DIPL;18_19     ;African;F;ENGLISH;Employed;GARANKUWA;Midlands;1
11132056;T;MATR;35_40     ;African;M;NORTHERN SOTHO;Employed;PRETORIA;Gauteng;1
11529730;T;DIPL;24_25     ;African;F;ISIZULU;Unemployed;VANDERBIJLPARK;Gauteng;1
10518937;T;DEGR;24_25     ;White;F;ENGLISH;Unemployed;JOHANNESBURG;Gauteng;1
10521539;T;DEGR;22_23     ;African;M;SETSWANA;Employed;TEMBA;Midlands;1
10174402;T;SENR;29_34     ;African;M;SETSWANA;Employed;GOODWOOD;Western Cape;1
11148208;T;DEGR;26_28     ;African;F;SETSWANA;Unemployed;BOKSBURG;Gauteng;1
12285077;F;DEGR;18_19     ;White;M;AFR/ENG;Employed;HERMANUS;Western Cape;1
11719677;T;DEGR;29_34     ;African;M;ISIXHOSA;Employed;KING WILLIAM'S TOWN;Eastern Cape;1
11719831;T;KWAL;22_23     ;African;F;SETSWANA;Student;RANDBURG;Gauteng;1
11721124;F;DEGR;20_21     ;African;M;SESOTHO;Unemployed;MOKERONG;North Eastern;1
11721337;F;DEGR;20_21     ;Indian;F;ENGLISH;Unemployed;LOWER UMFOLOZI;KwaZulu-Natal;1
11722279;F;ONBK;22_23     ;African;M;ENGLISH;Employed;SOSHANGUWE;Gauteng;1
